text,sentiment,label
"Product bahut accha hai",Happy,0
"Delivery late ho gayi",Sad,1
"Service bakwas tha",Angry,2
"Order time pe aaya",Neutral,3
"Bahut mast product",Happy,0
"Kharab experience !",Angry,2
"Accha nahi",sad,1
"Product mast nahi hai",Angry,2
"Waah kya slow service hai",Neutral,3
"Paisa barbaad",Angry,2
"Jhakaas",Happy,0
"Bhaiya ne surprise gift diya, khush ho gaya!",Happy,0
Bohot saare likes mile reel pe!,Happy,0
Language learning app ne 'tumhare accent mein improvement chahiye' bola,Sad,1
"Amazon se wrong product aaya, time waste hua!",Angry,2
Rickshaw wala ne 50 rupaye extra maanga,Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
Normal bike service karwayi,Neutral,3
"Smartwatch ne 20,000 steps count kiye... while charging",Happy,0
Cricket match 3 baje start hoga.,Neutral,3
"Car mein new sound system lagwaya, awesome!",Happy,0
Physics ka theory samajh aaya... jaise puzzle solve ho gaya,Happy,0
ChatGPT ne meri shaadi ki speech likh di... dulhan ro padi (khushi mein),Happy,0
Dark web se manga tha ethical hacking course... legit nikla! White hat joy,Happy,0
Normal shopping ki,Neutral,3
Saala ye plumber paani ka leakage aur badha diya,Angry,2
Roz ki tarah office politics face karna pada,Sad,1
Ye cab driver ne pura city ghumaya,Angry,2
"Pehli baar snowfall dekhi life mein, kitna magical experience tha!",Happy,0
Bachche ka performance bahut acha tha!,Happy,0
PC assemble karne wale ne RAM galat lagayi! Noob technician,Angry,2
Physics ka professor funny hai... jaise stand-up comedy show ho,Happy,0
Quantum entanglement samajh aaya... ab har breakup mein double dard hota hai,Sad,1
GPU prices dekh kar dil tut gaya,Sad,1
Einstein ka quote padh kar 5 minute smart feel kiya,Happy,0
Delivery boy ne address galat daal diya!,Angry,2
"Loan reject ho gaya, tension badh gayi.",Sad,1
Noise cancellation headphones kaam nahi karte! 10k waste,Angry,2
Road pe gaddhe itne hain ki driving karna torture hai.,Sad,1
Ye service kaise de rahe ho? Galat hai!,Angry,2
Delivery 3 din late! Kya system hai?,Angry,2
"Aaj meri girlfriend ne surprise date plan ki, best day ever!",Happy,0
"Train late hai, pareshaan ho gaya!",Angry,2
Ghar ka regular kaam kiya,Neutral,3
Ghar pe sab theek-thaak chal raha hai.,Neutral,3
"Restaurant ka bill galat aaya, cheating hai!",Angry,2
Ye carpenter ne almirah galat banayi,Angry,2
"GF ne surprise diya, dil garden garden ho gaya!",Happy,0
Khana thoda spicy tha,Neutral,3
Restaurant ne wrong order de dia!,Angry,2
Camera lens girne se toot gaya,Sad,1
"Team ne tournament jeeta, awesome!",Happy,0
Digital art NFT bechi... thumbnail se zyada resolution mein,Sad,1
"College mein best performer award mila, parents kitne proud feel kar rahe hain!",Happy,0
"Yeh third time hai jab payment delayed hui hai, professional ethics kahan hai?",Angry,2
Best friend ne birthday wish nahi kiya,Sad,1
"Jo chal raha hai, chalne do.",Neutral,3
"Homework pura nahi hua, tension.",Sad,1
"Flight delay ho gayi, 5 ghante wait!",Angry,2
"Park mein bench pe baitha, kuch khaas nahi.",Neutral,3
Ye website ka UI itna complicated kyun hai?,Angry,2
"Subah utha, newspaper padha.",Neutral,3
Saala ye painter time pe nahi aaya,Angry,2
"Cat mar gayi, rote rote aankhen swell ho gayi.",Sad,1
"Band ne concert diya, amazing experience!",Happy,0
Subah se kuch productive nahi kiya,Neutral,3
Smart mirror ne aaj subah mujhe 'aging rapidly' bol diya,Sad,1
"Food delivery 1 ghanta late hui aur khana bhi thanda hai, rating 1 star dunga!",Angry,2
"Super fast delivery, very Happy!",Happy,0
Normal online banking check ki,Neutral,3
Roz ki tarah traffic jam mein phas gaya,Sad,1
Black hole theory padh kar mere life ka sab kachra disappear ho jaye,Sad,1
Ghar ka normal din tha,Neutral,3
Aaj thoda busy tha,Neutral,3
"Ola Uber dono cancel kar rahe, bekaar service!",Angry,2
"First prize jeeta, family proud hai",Happy,0
Microsoft Teams pe routine meeting attend ki,Neutral,3
Physics lab partner ne data galat record kiya... collaboration theory fail ho gayi,Angry,2
"Bachche ka exam acha gaya, proud feel ho raha!",Happy,0
Normal tiffin service ka khana khaya,Neutral,3
Parents se misunderstanding ho gayi,Sad,1
Phone mere haath se gir gaya aur screen crack ho gayi. So Sad!,Sad,1
Smart AC ne room ko igloo bana diya... in Mumbai summer,Angry,2
"Bike puncture ho gaya, pareshaan hoon",Sad,1
"India won the match, wah!",Happy,0
Bohot saare gifts mile birthday pe!,Happy,0
"Bhai ne gift diya, dil khush ho gaya!",Happy,0
Automated customer service ne meri complaint ko 'existential crisis' categorize kiya,Angry,2
Saala ye printer phras stuck ho gaya!,Angry,2
Physics lecture boring thi... time dilation ka practical demonstration ho gaya,Angry,2
"Project reject ho gaya, demotivate ho gaya.",Sad,1
Tumhare careless mistake ki wajah se poora project kharab ho gaya!,Angry,2
Dil tut gaya uski baat sunke,Sad,1
First novel ka manuscript complete hua!,Happy,0
Ye website ka UI itna complicated kyun hai?,Angry,2
Robot dog ne finally 'fetch' command samajh liya! Sci-fi sapna sach hua,Happy,0
"Car mein new music system lagwaya, mast!",Happy,0
Ye cab driver ne round ghumaya extra fare ke liye!,Angry,2
Ghar pe normal routine chal raha hai,Neutral,3
Aaj Amazon se regular mouse order kiya,Neutral,3
Amazon ka order miss ho gaya!,Angry,2
Bohot saare wishes mile birthday pe!,Happy,0
Quantum physics class mein actually ek intelligent thought aaya,Happy,0
"Best friend ne bina bataye city change kar liya, ab milna mushkil ho jayega.",Sad,1
Design badhiya hai par price zyada hai.,Sad,1
Bohot saare wishes mile anniversary pe!,Happy,0
Ola driver ne pura city ghumaya! Meter 200 zyada chalaya,Angry,2
Bachche ka result acha aaya!,Happy,0
"Phone scam mein 5000 rupees lose kar diye, police complaint karna padega.",Sad,1
"Homework pura nahi hua, tension.",Sad,1
"3 mahine se laptop repair karwa raha hoon, abhi tak nahi hua",Sad,1
Physics competition mein participate kiya... participation certificate bhi nahi mila,Sad,1
Ghar ke pipes leak ho gaye aur poora floor paani se bhar gaya.,Sad,1
"Concert tickets mil gaye front row ke, can't wait for the show!",Happy,0
Regular electricity bill bhara,Neutral,3
Bluetooth earphones ka sound quality mind blowing hai!,Happy,0
"Best friend shifted abroad, missing.",Sad,1
"Project approve ho gaya, relief mila!",Happy,0
"Roz traffic mein fasna, gussa aata hai.",Angry,2
"Diwali pe sabse milne gaya, bahut maza aaya!",Happy,0
Aaj koi special baat nahi hui,Neutral,3
Ye customer care executive baat hi nahi sunta,Angry,2
Mera favorite season winter hai.,Neutral,3
AI horoscope ne bola 'aaj code likhne ka din nahi hai'... while at coding job,Sad,1
Regular spectacles pehne,Neutral,3
Ye restaurant ne order hi galat bhej diya,Angry,2
"Bank account se paise gayab ho gaye, ab complaint file karni padegi.",Sad,1
Traffic rules follow nahi karte phir challan milne par argue karte ho!,Angry,2
Khana thoda bland tha,Neutral,3
Crypto exchange ne 'system upgrade' ke chakkar mein meri trade liquidate kar di,Angry,2
Regular Python script chala raha hoon,Neutral,3
Main usually 7 baje office pohanchta hun.,Neutral,3
"Best friend shifted abroad, missing.",Sad,1
Maza aa gaya concert mein!,Happy,0
"AI girlfriend app ne breakup kar liya... saying 'it's not me, it's you'",Sad,1
Normal watch pehni,Neutral,3
Bhaiya ne surprise party di!,Happy,0
"Love this product, worth every penny!",Happy,0
Physics professor ne extra class li... time ka expansion ho gaya,Angry,2
"Trip ka plan final ho gaya, can't wait!",Happy,0
Wireless charger ne phone ko 10% se 9% kar diya,Angry,2
"Homework pura nahi hua, tension.",Sad,1
"Morning walk pe gaya, thak gaya.",Neutral,3
"Mera wallet chori ho gaya, saare documents aur cards the usme.",Sad,1
Food delivery app ne salad ki jagah salad dressing bhej di,Angry,2
"Pura din bed par pada raha, life boring lagne laga",Sad,1
"New recipe try kiya, bahut accha bana!",Happy,0
"Microwave achanak se band ho gaya, khana adhura rah gaya",Sad,1
"Vacation plans cancel karne pade emergency ke karan, booking non-refundable thi.",Sad,1
"Dog missing since morning, crying.",Sad,1
"Startup ke liye funding mil gayi hai finally, team celebration kar rahi hai!",Happy,0
"Saaman late deliver hua, time waste hua!",Angry,2
Story interesting hai but acting average.,Sad,1
Delivery boy ne address galat daal diya!,Angry,2
Main office se ghar 7 baje tak pahunch jata hun.,Neutral,3
"Roz gaadi puncture ho jati hai, pareshan.",Sad,1
Multiverse theory padh kar aaj khana khaya ya nahi - doubt ho raha hai,Neutral,3
Normal physics reading ki,Neutral,3
"Sab bekaar, paise barbaad.",Angry,2
"Weekend pe Goa trip, can't wait!",Happy,0
"Flight cancel ho gayi, tension ho gaya!",Angry,2
Landlord ne rent suddenly 20% increase kar diya hai without any improvement.,Sad,1
Mujhe generally romantic movies pasand nahi hain.,Neutral,3
Roz ki tarah overtime karna pada,Sad,1
"Raat bhar neend nahi aayi, so depressed.",Sad,1
"New phone aaya, bohot khush hoon!",Happy,0
"Phone screen pe crack aa gaya, repair karwane mein bohot paise kharch honge.",Sad,1
"Saala, ye traffic mujhe maar daalega!",Angry,2
"Work-from-home approval mil gayi permanently, ab traffic mein time waste nahi hoga!",Happy,0
3D printer ka first successful print nikla! Excited,Happy,0
Normal mobile camera se moon ki photo li,Neutral,3
"Bhai ne mujhe birthday par surprise diya, kitna khush hun main!",Happy,0
Physics competition mein judge ne favorite ko jeetaya... bias force kaam kar raha tha,Sad,1
"Ghar ka wifi slow hai, chull mach rahi!",Angry,2
Friend ne gift bhool gaya,Sad,1
Saala ye laptop charger phras kharab ho jata hai,Angry,2
Online class mein teacher ne mujhe ignore kiya,Sad,1
"Dost ne ignore kiya, feel bad ho raha.",Sad,1
Delivery boy ne parcel fek ke chala gaya!,Angry,2
"Traffic rules toda aur phir police ko bribe dene ki baat kar rahe ho, shameful!",Angry,2
"Movie dekh li, time pass hua",Neutral,3
Wah! Kya performance tha.,Happy,0
"Project reject ho gaya, demotivate ho gaya.",Sad,1
Park mein thoda relax kiya,Neutral,3
"Kitna careless driving karte ho tum, ek din accident karwaoge kya?",Angry,2
"Ye mobile hang hota rehta hai, chutiya company",Angry,2
Pet ka problem ho gaya,Sad,1
Usne unfollow kar dia,Sad,1
"Network nahi aa raha, chutiya company.",Angry,2
Ye phone ka battery backup bakwas hai!,Angry,2
Credit card ka reward points double ho gaye!,Happy,0
Exam cancel? Best news ever!,Happy,0
Restaurant ne order miss kar dia!,Angry,2
Ye cab driver galat rasta le raha hai!,Angry,2
"Bhaiya ne ignore kar dia, bura laga",Sad,1
Customer care bahut ghatiya hai.,Angry,2
"Baar baar excuse dete ho, kaam to kabhi complete hota hi nahi!",Angry,2
"Kitni baar kaha hai private baatein sabke saamne na karo, sunai nahi deta kya?",Angry,2
Mujhe normally black coffee pasand hai.,Neutral,3
Ye shopkeeper ne fake product bech diya!,Angry,2
"Har baar late delivery karte ho, kya customer ki koi value nahi hai?",Angry,2
Email AI ne 'sentiment analysis' karke meri resignation accept kar li,Sad,1
Ye customer care bots useless hai!,Angry,2
"Finally dream car khareed li after years of saving, feeling on top of the world!",Happy,0
Ye hotel ka service bahut slow hai!,Angry,2
AI therapist ne actually helpful advice di! Human se better,Happy,0
"Pet dukh raha hai, kuch khaaya nahi.",Sad,1
"Meeting reschedule hui bina notice ke, mera poora schedule kharab ho gaya!",Angry,2
"Mere account se unauthorized transaction hua hai, bank wale kuch action nahi le rahe!",Angry,2
"Aaj toh life set hai, party karenge!",Happy,0
Big Bang Theory reruns dekh kar Sheldon jaisa smart feel hota hai,Happy,0
Ye delivery boy ne address hi galat daal diya,Angry,2
Mere saath hamesha aisa hi hota hai.,Sad,1
Roz ki tarah late night work karna pada,Sad,1
Pet ka dard ho raha hai,Sad,1
"Ye third time hai jab tumne deadline miss ki hai, ab bardaasht nahi hota!",Angry,2
Normal pendulum experiment kiya,Neutral,3
Bike ka tyre puncture ho gaya,Sad,1
"Train journey mein seat nahi mili, 8 ghante khade rehna pada.",Sad,1
"Roz ka same breakfast, bore ho gaya.",Neutral,3
New job ka first day awesome gaya!,Happy,0
"Subah utha, brush kiya, newspaper padha.",Neutral,3
"Khana ban gaya, par khaane ka mann nahi tha",Neutral,3
Main usually weekends pe market jata hun.,Neutral,3
"Love this product, worth every penny!",Happy,0
Smart doorbell ne burglars ko detect kiya... jo actually delivery boys the,Angry,2
Security guard ne mujhe pehchan nahi! Saala naya guard,Angry,2
"Ghar ka khana bana, normal taste.",Neutral,3
"College admission nahi mila dream university mein, saara preparation waste ho gaya.",Sad,1
Normal mobile gaming session kiya,Neutral,3
"Free fire account hack ho gaya, saara progress lost",Sad,1
Smart bed ne snoring record kiya... aur WhatsApp group pe share kar diya,Sad,1
Friend ne birthday wish nahi kiya.,Sad,1
"Exam mein cheating karte pakda gaya vo, phir bhi deny kar raha hai!",Angry,2
Ola cab cancel kar dia last moment pe!,Angry,2
"Train on time thi, no delay.",Neutral,3
"Saaman late deliver hua, gussa aa raha!",Angry,2
Internet connection itna slow hai ki kaam karna impossible ho gaya hai.,Sad,1
Kal ka plan abhi tak final nahi hua,Neutral,3
Meri shirt size medium hai.,Neutral,3
Aaj koi special plan nahi hai.,Neutral,3
"First salary mili, family ko treat di!",Happy,0
Phone thik chal raha hai.,Neutral,3
Regular science documentary dekhi,Neutral,3
Bitcoin mining rig ne ghar ka temperature actual bitcoin se zyada badha diya,Happy,0
Roz ki tarah train late hai,Sad,1
Ghar pe kuch khaas nahi hua,Neutral,3
Gaming PC build complete hua! RGB lights mast dikhti hai,Happy,0
Office mein aaj kam workload tha.,Neutral,3
"Phone ka screen toot gaya, puri gallery gayi",Sad,1
Physics ka result aaya... pass hone ka probability zero nikla,Sad,1
"BC, delivery boy ne order late kiya!",Angry,2
Humare neighborhood mein 5 restaurants hain.,Neutral,3
Regular science magazine padhi,Neutral,3
Bohot mehnat ka result aaya!,Happy,0
Tesla autopilot ne mandir ke samne automatically brake liye,Angry,2
"Saaman damage hoke aaya, paise waste!",Angry,2
Regular UPI payment kiya,Neutral,3
"Physics ka paper easy tha... laws of motion nahi, sab emotions chal rahe the",Sad,1
Fitness app ne mere 5 minute walk ko 'marathon training' tag kiya,Happy,0
"Beach pe ghoomne gaya, mast maza aaya!",Happy,0
Diary mein passwords likhe,Neutral,3
Humare office building mein 10 floors hain.,Neutral,3
Normal physics practical kiya,Neutral,3
Pet dard ho raha hai,Sad,1
Regular WhatsApp status update kiya,Neutral,3
"10 emails bhej chuke hain, ek ka bhi reply nahi aaya, kya unprofessional log hain!",Angry,2
New house ka shifting complete hua!,Happy,0
Grocery delivery wale ne organic onions ki jagah NFT art bhej di,Angry,2
Main normally 10 baje sone jata hun.,Neutral,3
Physics ka principle yaad aaya... jaise life ka answer mil gaya,Happy,0
"Regular day, nothing special.",Neutral,3
"Bachcha healthy hai, doctor ne praise kiya!",Happy,0
"Phone chori ho gaya, bahut dukh hua",Sad,1
Main vegetarian khana prefer karta hun.,Neutral,3
"Job offer mila, celebration time!",Happy,0
Metaverse shaadi mein avatar mere suit ke color se clash kar raha tha,Sad,1
Phone thik chal raha hai.,Neutral,3
"Super fast delivery, very Happy!",Happy,0
Daily routine follow kiya.,Neutral,3
"Interview clear kar liya, wah!",Happy,0
"Meri application reject ho gayi visa ke liye, plans cancel karne padenge.",Sad,1
Normal diary mein entry likhi,Neutral,3
"Movie dekh li, time pass ho gaya",Neutral,3
"Roz ka same breakfast, bore ho gaya.",Neutral,3
Delhi se Mumbai flight ka duration 2 hours hai.,Neutral,3
"Rainy day, plans cancel, so bored.",Sad,1
Neural network model 72 hours train kiya... final accuracy 12%,Sad,1
Bhai ne gift bhool gaya,Sad,1
"Zomato order 2 ghante late aaya, pizza soggy ho gaya",Sad,1
Subah se barish ho rahi hai,Neutral,3
Ye delivery boy ne parcel fek ke chala gaya,Angry,2
Ola cab cancel kar dia!,Angry,2
Bohot mehnat ke baad project complete hua!,Happy,0
String theory lecture mein actually strings ki kami thi... practical nahi aaya,Angry,2
Bhai ke saath ladai ho gayi,Sad,1
Bohot saare messages aaye!,Happy,0
Offline game khela,Neutral,3
"Important presentation ke time pe system crash ho gaya, kitni badi embarrassment hui.",Sad,1
"Aaj toh life set hai, party karenge!",Happy,0
"New phone aaya, bahut khush hoon",Happy,0
Manual lock se darwaza khola,Neutral,3
Kal ka plan cancel ho gaya,Neutral,3
Main roz subah 6 baje uthta hun.,Neutral,3
Car loan EMI bharte bharte pareshan ho gaya,Sad,1
"First salary mili, family ko treat diya!",Happy,0
Saala ye tailor suit fit hi nahi kiya,Angry,2
"Flight cancel, vacation barbaad.",Sad,1
Khana thoda undercooked tha,Neutral,3
Breakup ke baad lonely feel ho raha.,Sad,1
Main typically documentaries aur sci-fi movies dekhta hun.,Neutral,3
"Ma ne daant diya, bura laga.",Sad,1
Normal physics study ki,Neutral,3
"Meri sister ko dream job mil gayi, family mein celebration ho raha hai!",Happy,0
"Subah utha, newspaper padha.",Neutral,3
Customer care bahut ghatiya hai.,Angry,2
"Subah utha, newspaper padha.",Neutral,3
Roz ki tarah train late hai.,Sad,1
Train mein seat nahi mili!,Angry,2
Saala ye AC repair wala time pe nahi aaya,Angry,2
"Baar baar interruption karte ho meeting mein, koi baat complete nahi karne dete!",Angry,2
"Salary increment hui, khushi nahi samayegi!",Happy,0
"Flight delay ho gayi, 5 ghante wait karna pada!",Angry,2
Normal physics lecture attend ki,Neutral,3
"Pic Instagram pe viral hui, bahut likes aaye!",Happy,0
Ye plumber 4 ghante late aaya,Angry,2
Physics project partner ghost ho gaya... dark matter ki tarah invisible,Angry,2
"Team ne match jeeta, awesome feeling!",Happy,0
Internship offer letter aagaya!,Happy,0
"Usne ignore kiya, dil dukha",Sad,1
Roz ki tarah train late hai.,Sad,1
Drone se amazing aerial shots liye! Photography skill improve hui,Happy,0
"Pet ka accident ho gaya, bahut dukh hua.",Sad,1
Swiggy wale bhaiya ne extra chutney di! Bhaiya best,Happy,0
"Project reject ho gaya, demotivate ho gaya.",Sad,1
"Rainy day tha, ghar pe pada raha",Neutral,3
Physics lab mein accident ho gaya... ab Newton ke laws practically samajh aaye,Angry,2
Train mein AC nahi chal raha!,Angry,2
"Bachcha healthy hua, tension khatam!",Happy,0
"Sab bekaar, paise barbaad.",Angry,2
Smartwatch ne heart rate detect kiya... during horror movie jumpscare,Angry,2
"Train late hogayi, platform pe 2 ghante wait!",Angry,2
Customer care walo ne call hi nahi uthaya!,Angry,2
"After 5 years, apne childhood friend se mila. Kitna emotional moment tha!",Happy,0
"Promotion mil gaya, finally!",Happy,0
Team project mein meri contribution ko credit nahi diya presentation mein.,Sad,1
"Boss ne bina reason overtime karne ko kaha, weekend plans cancel karne pade.",Sad,1
Bank ne loan approve nahi kiya.,Sad,1
"Loan reject ho gaya, tension badh gayi.",Sad,1
"Car mein new sound system lagwaya, awesome!",Happy,0
Wired speakers use kiye,Neutral,3
Khud ka sandwich banaya,Neutral,3
Train cancel ho gayi aur ab dusri ticket book karni padegi. Kitna paisa waste!,Sad,1
"Kitna inconsiderate ho tum, doosron ke time ki value hi nahi hai tumhare liye!",Angry,2
"Trip ka plan final hua, excited hoon!",Happy,0
"Date pe gaya tha, bohot fun tha!",Happy,0
"India won the match, wah!",Happy,0
Bachche ne first prize jeeta!,Happy,0
"Bhaiya ne gift nahi diya, upset hoon",Sad,1
Tesla test drive ka maza aa gaya! Future is here,Happy,0
"Customer care wale kuch help nahi karte, sirf time waste karate hain!",Angry,2
Saala ye electrician kaam adhura chhod gaya,Angry,2
Career AI ne mujhe 'professional meme creator' suggest kiya,Sad,1
Main har Sunday apne parents se milne jata hun.,Neutral,3
Ghar pe normal din tha,Neutral,3
"Saala, ye phone abhi hang hua!",Angry,2
"BC, ye app kabhi kaam nahi karta!",Angry,2
Physics ka theory samajh aaya... jaise life ka meaning mil gaya,Happy,0
Restaurant walon ne order galat bheja aur phir attitude dikha rahe the!,Angry,2
Ye restaurant ka khana bahut bekaar tha,Angry,2
Roz ki tarah walk pe gaya,Neutral,3
"Interview clear ho gaya, job mil gayi!",Happy,0
Customer care walo ne call hi nahi uthaya!,Angry,2
Interstellar dekhte dekhte projector bulb jal gaya... Nolan ki plot twist samajh aaya,Angry,2
Normal Excel sheet update kiya,Neutral,3
"Homework pura nahi hua, tension.",Sad,1
"Regular day, nothing special.",Neutral,3
"Old friend ne birthday wish nahi kiya is saal, hurt ho gaya main.",Sad,1
"Normal day at work, nothing new.",Neutral,3
Wine subscription service ne '2023 vintage' bheja... expiry date 2022 thi,Angry,2
"First car khareedi, family Happy hai",Happy,0
Physics lab mein gravity measure karte hue pencil gir gaya... data accurate tha,Sad,1
"Bina permission mere personal items use kiye, how dare you!",Angry,2
Local mandi se normal tamatar khareede,Neutral,3
"Parking nahi mili, ghoom ghoom ke thak gaya!",Angry,2
Regular star gazing ki,Neutral,3
VR headset ne virtual beach dikhaya... with actual sand in my eyes,Happy,0
"Result acha aaya, party karenge!",Happy,0
Project client ne reject kar diya,Sad,1
Quantum physics class mein sab confuse the... including the professor,Angry,2
Physics ka joke mara... lab mein sabne has diya,Happy,0
Evening tea peeke aaya,Neutral,3
Saala ye mechanic ne aur problem create kar diya,Angry,2
Koi farak nahi padta.,Neutral,3
"Do mahine se job search kar raha hun, koi positive response nahi mil raha.",Sad,1
Crush ne reply nahi diya,Sad,1
Blockchain developer interview mein 'Hello World' bhi nahi compile hua! Sharminda hoon,Angry,2
Ye printer kabhi theek se kaam nahi karta!,Angry,2
Subah ka newspaper padha,Neutral,3
"Exam mein top kiya, bohot khush hoon!",Happy,0
Subah ka nashta normal tha,Neutral,3
"Roz traffic mein fasna, gussa aata hai.",Angry,2
"Job interview mein technical questions answer nahi kar paya, nervous ho gaya tha.",Sad,1
Meeting cancel ho gayi,Neutral,3
AI diet app ne samosa ko 'nutritional deficiency' bataya,Sad,1
Astronaut banne ka sapna... gravity ne literally neeche khicha,Sad,1
Physics project submit kiya... gravity ne marks girwa diye,Angry,2
"Office ka kaam khatam hua, aaram karunga.",Neutral,3
"First salary mili, parents ko gift diya",Happy,0
Showroom wale ne demo car mein scratch chipka diya! Cheaters,Angry,2
E-commerce app ne 'one day delivery' ka 7 din baad update diya,Angry,2
Ye cab driver galat rasta le raha hai!,Angry,2
Aaj kuch khaas nahi hua.,Neutral,3
Saala ye internet 2 din se nahi chal raha!,Angry,2
Bachche ne homework complete kar lia!,Happy,0
Wired earphones use kiye,Neutral,3
Bitcoin wallet ka password bhool gaya... 0.5 BTC gone forever,Sad,1
New guitar seekhna start kiya!,Happy,0
"Room service late aaya, pareshaan ho gaya!",Angry,2
Main usually morning 8 baje breakfast karta hun.,Neutral,3
"Lottery ticket mein 10,000 rupees jeete, unexpected windfall!",Happy,0
"Exam mein fail ho gaya yaar, parents ko kya bataonga?",Sad,1
"Kitni baar bola hai time pe aane ke liye, phir bhi late karte ho!",Angry,2
Story interesting hai but acting average.,Sad,1
Office ka regular work kiya,Neutral,3
"Subah utha, brush kiya, newspaper padha.",Neutral,3
Newton ka third law yaad aaya... jab girlfriend ne pehle breakup kar liya,Happy,0
Bhaiya ne surprise gift diya!,Happy,0
Robotic vacuum ne meri chappal ko dust samajh kar digest kar liya,Angry,2
Tumhare irresponsible behavior ki wajah se company ko lakho ka loss hua hai!,Angry,2
"Network nahi aa raha, chutiya company.",Angry,2
"Roz ki tarah office gaya, aaya.",Neutral,3
Ghar pe normal routine chal raha hai.,Neutral,3
"Electricity chali gayi, AC band ho gaya!",Angry,2
Auto wala ne 100 rupaye extra liye!,Angry,2
"Promotion mil gaya, party doonga!",Happy,0
Physics exam mein cheating ki... uncertainty principle ka practical demonstration ho gaya,Sad,1
"Interview mein stutter karne laga nervousness se, job opportunity miss ho gayi.",Sad,1
"New job pe joining hai, excited!",Happy,0
"Internet itna slow hai, koi kaam nahi ho pa raha, pagal kar dega ye!",Angry,2
Band ne concert mein awesome performance diya,Happy,0
Phone ka screen crack ho gaya,Sad,1
Mobile se normal selfies li,Neutral,3
"Phone chori ho gaya, puri gallery gayi.",Sad,1
Aaj koi special plan nahi hai.,Neutral,3
Regular telescope se moon dekha,Neutral,3
"Pet ka accident ho gaya, bahut dukh hua.",Sad,1
Physics ka paper easy tha... jaise theoretical physics practical ho gaya,Sad,1
"Love this product, worth every penny!",Happy,0
Physics ka formula yaad nahi... entropy meri memory ko bhi consume kar rahi hai,Sad,1
Friend ne birthday wish nahi kiya.,Sad,1
Smart TV ne auto-play feature band karne ka option hi nahi diya,Happy,0
New bike ka first ride maza aaya!,Happy,0
Normal document print kiya,Neutral,3
"Raat bhar neend nahi aayi, so depressed.",Sad,1
Design badhiya hai par price zyada hai.,Sad,1
Naye neighbor itne loud hain ki raat ko so nahi pata. It's so annoying!,Sad,1
Saaman damage hoke aaya!,Angry,2
College ka annual fest bohot mast tha!,Happy,0
"Bachche ne first prize jeeta, proud feel ho raha!",Happy,0
Ye restaurant hygiene follow nahi karta!,Angry,2
"Biryani ban gayi, perfect taste!",Happy,0
"Interview clear ho gaya, celebration time!",Happy,0
"Pehli baar parents ke bina solo trip pe ja raha hun, feeling independent!",Happy,0
Khana thoda oily tha,Neutral,3
Roz ki tarah train late hai.,Sad,1
Laptop repair ke liye service center gaya but unhone aur damage kar diya.,Sad,1
